Brand,GSG Score,Link,Parent Company,Animal Welfare,Environmental Report,Organic,Nuclear Power,Better Cotton Initiative,Fossil Fuels,Ethical Accreditation,Other Criticisms,Ethical Innovator,Armaments,Code of Conduct,Political Donations,Ethical Trading Schemes,Human Rights,Raw Score Total,Human Rights+,Other Criticisms+
Mango,50,https://thegoodshoppingguide.com/brand-directory/mango/,Punta Fa S.L.,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,5,10.1,0,0,76,,
& Other Stories,48,https://thegoodshoppingguide.com/brand-directory/other-stories/,H&M Hennes & Mauritz AB,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,0
H&M,48,https://thegoodshoppingguide.com/brand-directory/hm/,H&M Hennes & Mauritz AB,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,0
Monki,48,https://thegoodshoppingguide.com/brand-directory/monki/,H&M Hennes & Mauritz AB,10.1,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,10.1,0,91,0,0
Primark,47,https://thegoodshoppingguide.com/brand-directory/primark/,Associated British Foods Plc/Wittington Investments Ltd,10.1,10.1,0,10.1,0,10.1,0,0,,10.1,10.1,10.1,10.1,0,81,0,
Tommy Hilfiger,47,https://thegoodshoppingguide.com/brand-directory/tommy-hilfiger/,PVH Corp.,10.1,10.1,0,10.1,10.1,10.1,0,10,,10.1,10.1,0,0,0,81,0,
adidas,41,https://thegoodshoppingguide.com/brand-directory/adidas-fashion-retailers/,Adidas AG,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,0,10.1,0,71,0,
Matalan,38,https://thegoodshoppingguide.com/brand-directory/matalan/,Matalan Retail Ltd,5,5,0,10.1,10.1,10.1,0,0,,10.1,5,10.1,0,0,66,0,
Boohoo,37,https://thegoodshoppingguide.com/brand-directory/boohoo/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Burton,37,https://thegoodshoppingguide.com/brand-directory/burton/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Coast,37,https://thegoodshoppingguide.com/brand-directory/coast/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Dorothy Perkins,37,https://thegoodshoppingguide.com/brand-directory/dorothy-perkins/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Nasty Gal,37,https://thegoodshoppingguide.com/brand-directory/nasty-gal/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Nike,37,https://thegoodshoppingguide.com/brand-directory/nike-fashion-retailers/,Nike Inc.,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,0,10.1,0,71,0,0
Oasis,37,https://thegoodshoppingguide.com/brand-directory/oasis-fashion-retailers/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Pretty Little Thing,37,https://thegoodshoppingguide.com/brand-directory/pretty-little-thing/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Wallis,37,https://thegoodshoppingguide.com/brand-directory/wallis-fashion-retailers/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
Warehouse,37,https://thegoodshoppingguide.com/brand-directory/warehouse/,Boohoo Group Plc,0,10.1,0,10.1,10.1,10.1,0,0,,10.1,10.1,10.1,0,0,71,0,0
I Saw It First,30,https://thegoodshoppingguide.com/brand-directory/i-saw-it-first/,Frasers Group Plc,0,0,0,10.1,10.1,10.1,0,0,,10.1,0,10.1,0,0,50,,0
Missguided,30,https://thegoodshoppingguide.com/brand-directory/missguided/,Frasers Group Plc,0,0,0,10.1,10.1,10.1,0,0,,10.1,0,10.1,0,0,50,,0
Shein,29,https://thegoodshoppingguide.com/brand-directory/shein/,Roadget Business Pte Ltd,5,0,0,10.1,0,10.1,0,0,,10.1,5,10.1,0,0,50,,0
